Name,RA,Dec,Con,OT,Other
WBL 220,140.922500,2.118200,HYA,G+,Rich=3; z=0.02845
WBL 221,141.146000,49.267900,UMA,G+,Rich=7; z=0.01141
WBL 222,141.611700,22.099600,LEO,G+,Rich=3; z=0.02591
WBL 223,141.814700,23.015600,LEO,G+,Rich=3; z=0.02500
WBL 224,141.966000,30.031900,LEO,G+,Rich=8; z=0.02658
WBL 225,143.454000,34.027500,LMI,G+,Rich=3; z=0.02688
WBL 226,143.495700,10.110500,LEO,G+,Rich=3; z=0.01056
WBL 227,144.386000,23.191400,LEO,G+,Rich=4; z=0.02353
WBL 228,144.518300,9.524300,LEO,G+,Rich=3; z=0.02876
WBL 229,144.640700,17.040600,LEO,G+,Rich=4; z=0.02890
WBL 230,144.859100,6.423300,HYA,G+,Rich=3; z=0.02196
WBL 231,145.278100,21.238800,LEO,G+,Rich=4; z=0.02440
WBL 232,145.298400,11.488700,LEO,G+,Rich=6; z=0.02160
WBL 233,145.344100,26.072000,LEO,G+,Rich=4
WBL 234,145.602800,4.287900,SEX,G+,Rich=4
WBL 235,145.739500,31.887600,LEO,G+,Rich=3; z=0.00492
WBL 236,145.831600,36.204100,LMI,G+,Rich=3; z=0.02252
WBL 237,145.832200,22.787300,LEO,G+,Rich=3
WBL 238,146.732400,54.418400,UMA,G+,Rich=4
WBL 239,146.574200,3.068500,SEX,G+,Rich=3; z=0.02013
WBL 240,146.951800,21.667600,LEO,G+,Rich=3
WBL 241,147.213600,44.050400,UMA,G+,Rich=4; z=0.01593
WBL 242,147.465100,9.082800,LEO,G+,Rich=3; z=0.01741
WBL 243,147.525100,12.766000,LEO,G+,Rich=5; z=0.00476
WBL 244,148.311300,7.864000,LEO,G+,Rich=3; z=0.02947
WBL 245,149.119900,20.512000,LEO,G+,Rich=4; z=0.02505
WBL 246,149.898500,13.026700,LEO,G+,Rich=4; z=0.03547
WBL 247,150.099000,3.292800,SEX,G+,Rich=3; z=0.00698
WBL 248,150.108700,-2.957300,SEX,G+,Rich=7; z=0.02040
WBL 249,150.820400,12.124400,LEO,G+,Rich=3
WBL 250,151.235100,46.690300,UMA,G+,Rich=3
WBL 251,151.675100,14.372400,LEO,G+,Rich=3; z=0.02987
WBL 252,151.749100,13.988900,LEO,G+,Rich=3
WBL 253,151.941600,0.288400,SEX,G+,Rich=3
WBL 254,152.504100,58.470700,UMA,G+,Rich=3; z=0.00724
WBL 255,153.053500,58.869500,UMA,G+,Rich=3; z=0.03039
WBL 256,152.865700,-0.063700,SEX,G+,Rich=4; z=0.03354
WBL 257,153.209900,-2.681200,SEX,G+,Rich=3
WBL 258,153.442100,38.718500,LMI,G+,Rich=9; z=0.02211
WBL 259,153.498400,14.484900,LEO,G+,Rich=3
WBL 260,153.789000,21.117700,LEO,G+,Rich=3; z=0.02061
WBL 261,154.157400,60.267100,UMA,G+,Rich=3; z=0.03127
WBL 262,154.564500,21.866000,LEO,G+,Rich=3; z=0.00473
WBL 263,154.669200,13.215800,LEO,G+,Rich=3; z=0.01825
WBL 264,155.201400,42.981400,UMA,G+,Rich=3; z=0.02306
WBL 265,155.596200,56.980700,UMA,G+,Rich=4; z=0.00387
WBL 266,155.941600,12.629800,LEO,G+,Rich=3
WBL 267,156.068500,13.596200,LEO,G+,Rich=3
WBL 268,156.201600,28.046000,LMI,G+,Rich=3; z=0.02094
WBL 269,156.164100,-0.870700,SEX,G+,Rich=3; z=0.03453
WBL 270,156.300900,17.179100,LEO,G+,Rich=7; z=0.00262
WBL 271,156.748000,16.078200,LEO,G+,Rich=5; z=0.03304
WBL 272,156.784400,-3.321900,SEX,G+,Rich=5; z=0.03129
WBL 273,156.812600,11.044700,LEO,G+,Rich=3; z=0.03229
WBL 274,157.182400,39.810800,UMA,G+,Rich=3; z=0.02925
WBL 275,157.533000,47.226800,UMA,G+,Rich=3
WBL 276,157.534900,-3.173300,SEX,G+,Rich=4; z=0.03691
WBL 277,157.579500,7.209900,LEO,G+,Rich=3
WBL 278,157.710700,-2.757000,SEX,G+,Rich=3; z=0.02968
WBL 279,158.312900,11.908600,LEO,G+,Rich=5; z=0.03418
WBL 280,160.401300,6.271600,SEX,G+,Rich=7; z=0.02271
WBL 281,160.427900,21.321600,LEO,G+,Rich=3; z=0.02499
WBL 282,160.497100,18.288200,LEO,G+,Rich=3
WBL 283,161.827100,7.252700,LEO,G+,Rich=3; z=0.02712
WBL 284,162.073300,4.902300,SEX,G+,Rich=4; z=0.02608
WBL 285,162.120200,18.652200,LEO,G+,Rich=3
WBL 286,162.334600,12.318600,LEO,G+,Rich=3; z=0.00461
WBL 287,162.440700,16.235100,LEO,G+,Rich=4; z=0.02169
WBL 288,162.441300,0.351700,SEX,G+,Rich=5; z=0.03899
WBL 289,162.653900,8.768100,LEO,G+,Rich=3; z=0.08393
WBL 290,162.996300,3.800900,LEO,G+,Rich=3; z=0.01213
WBL 291,164.104200,9.749400,LEO,G+,Rich=3; z=0.03238
WBL 292,164.651400,55.615400,UMA,G+,Rich=3; z=0.04670
WBL 293,164.571900,4.598700,LEO,G+,Rich=3
WBL 294,164.954300,50.031700,UMA,G+,Rich=3; z=0.02413
WBL 295,165.128600,9.964700,LEO,G+,Rich=3; z=0.03342
WBL 296,165.204200,10.481300,LEO,G+,Rich=6; z=0.03513
WBL 297,165.478700,10.264200,LEO,G+,Rich=4; z=0.03511
WBL 298,165.849200,6.880500,LEO,G+,Rich=3
WBL 299,166.195900,4.280000,LEO,G+,Rich=3; z=0.02544
WBL 300,166.254900,29.980000,LMI,G+,Rich=3; z=0.02975
WBL 301,166.751500,28.612800,UMA,G+,Rich=3; z=0.03309
WBL 302,167.005700,13.112400,LEO,G+,Rich=4
WBL 303,167.222500,26.628900,LEO,G+,Rich=3; z=0.02986
WBL 304,167.415600,21.762000,LEO,G+,Rich=3; z=0.03189
WBL 305,167.512400,36.995300,UMA,G+,Rich=4; z=0.02885
WBL 306,167.473700,7.261900,LEO,G+,Rich=3; z=0.02113
WBL 307,167.469500,3.445300,LEO,G+,Rich=3
WBL 308,167.645900,4.828400,LEO,G+,Rich=6; z=0.02485
WBL 309,167.651700,10.111700,LEO,G+,Rich=3; z=0.04340
WBL 310,167.698600,28.295100,LEO,G+,Rich=3; z=0.03536
WBL 311,167.724100,28.695000,UMA,G+,Rich=8; z=0.03158
WBL 312,167.919100,3.144800,LEO,G+,Rich=8; z=0.02983
WBL 313,168.172000,28.027900,LEO,G+,Rich=3; z=0.04680
WBL 314,168.191000,23.294500,LEO,G+,Rich=4; z=0.02115
WBL 315,168.296000,5.144400,LEO,G+,Rich=4
WBL 316,168.298700,7.794400,LEO,G+,Rich=4; z=0.02937
WBL 317,168.644800,4.060700,LEO,G+,Rich=5
WBL 318,169.071300,29.293700,UMA,G+,Rich=7; z=0.04258
WBL 319,169.233200,18.060200,LEO,G+,Rich=3; z=0.00299
WBL 320,169.563300,23.426500,LEO,G+,Rich=3; z=0.02250
WBL 321,169.624100,58.009900,UMA,G+,Rich=3; z=0.01698
WBL 322,170.103000,72.826200,DRA,G+,Rich=5
WBL 323,170.216200,0.492600,LEO,G+,Rich=3
WBL 324,170.243400,3.109200,LEO,G+,Rich=12; z=0.02394
WBL 325,170.448500,34.359100,UMA,G+,Rich=7; z=0.03482
WBL 326,170.562100,24.309000,LEO,G+,Rich=5; z=0.02704
WBL 327,170.715900,47.058900,UMA,G+,Rich=3
WBL 328,170.793000,2.758800,LEO,G+,Rich=3
WBL 329,171.093300,3.291900,LEO,G+,Rich=3; z=0.00453
