Name,RA,Dec,Con,OT,Mag,Diam,Other
VV 590,23.844200,4.868300,PSC,PG,16.00,0.030,
VV 591,315.109200,16.859200,DEL,PG,14.47,0.025,
VV 592,149.697100,-28.621400,ANT,PG,13.41,0.043,
VV 593,139.212100,45.700000,LYN,PG,14.80,0.030,
VV 594,172.050800,21.997500,LEO,PG,14.58,0.022,
VV 595,157.910800,-17.850800,HYA,PG,15.41,0.018,
VV 596,92.042900,34.264200,AUR,PG,17.00,0.013,
VV 597,22.418300,33.831100,AND,PG,15.60,0.015,
VV 598,354.171200,17.515000,PEG,PG,14.51,0.037,
VV 599,82.307100,-42.209400,COL,PG,14.71,0.033,
VV 6,204.349600,6.436400,VIR,PG,15.30,0.037,Arp 33
VV 60,172.349150,41.871250,UMA,PG,16.00,0.012,
VV 600,20.275000,33.228300,PSC,PG,14.96,nan,
VV 601,89.068700,48.543600,AUR,PG,14.80,0.025,
VV 603,165.754600,53.017800,UMA,PG,16.00,0.025,
VV 604,293.081700,-29.385800,SGR,PG,14.30,0.025,
VV 605,195.320400,64.999700,DRA,PG,15.20,0.020,
VV 606,43.298300,13.032500,ARI,PG,14.90,0.030,
VV 607,207.719600,38.240800,CVN,PG,15.10,0.020,
VV 608,146.198300,-31.825600,ANT,PG,13.18,0.052,
VV 609,195.352500,29.308750,COM,PG,14.90,0.001,
VV 61,181.512500,20.605000,COM,PG,15.00,0.018,
VV 610,55.546700,-27.863100,FOR,PG,13.58,0.043,
VV 611,240.756200,39.645000,CRB,PG,14.41,0.025,
VV 612,136.161700,18.457200,CNC,PG,13.90,0.040,
VV 613,351.087900,-0.109400,PSC,PG,14.54,0.040,
VV 614,184.764600,8.856400,VIR,PG,14.30,0.045,
VV 615,214.419200,-7.416900,VIR,PG,13.00,0.035,
VV 616,198.701200,34.880800,CVN,PG,14.30,0.025,
VV 617,253.245400,2.400800,OPH,PG,13.80,0.052,
VV 618,149.720800,47.735600,UMA,PG,14.10,0.052,
VV 619,351.923300,23.591900,PEG,PG,13.17,0.033,4Zw149
VV 62,181.576200,20.611700,COM,PG,18.00,0.015,
VV 620,147.433300,0.621700,SEX,PG,13.50,0.072,
VV 621,308.275400,-2.027500,AQL,PG,13.15,0.048,
VV 622,6.504200,25.726700,AND,PG,14.88,0.037,
VV 623,267.841200,18.751400,HER,PG,15.20,0.025,
VV 624,241.667100,30.098900,CRB,PG,14.40,0.035,
VV 625,248.448300,28.985000,HER,PG,13.30,0.070,
VV 626,242.917900,52.456900,DRA,PG,14.00,0.033,1Zw135
VV 627,165.251700,57.782200,UMA,PG,15.20,0.015,7Zw360
VV 628,163.851200,57.911900,UMA,PG,15.70,0.013,
VV 629,242.944200,60.579700,DRA,PG,15.05,0.018,
VV 63,141.462500,22.383300,LEO,PG,15.60,0.015,
VV 630,80.494200,3.482200,ORI,PG,14.66,0.022,VV 225;VV 225b
VV 631,203.150000,-27.168300,HYA,PG,14.47,0.035,
VV 632,122.271650,57.802100,LYN,PG,13.80,0.113,7Zw212
VV 633,200.036200,33.088300,CVN,PG,15.00,0.035,
VV 634,5.010850,6.465850,PSC,PG,14.41,0.005,
VV 635,347.543700,29.913900,PEG,PG,14.50,0.020,4Zw134
VV 636,38.495800,31.968300,TRI,PG,15.50,nan,5Zw255
VV 637,150.862100,-1.545300,SEX,PG,15.60,0.013,
VV 638,173.512500,-3.593300,LEO,PG,15.40,0.015,
VV 639,158.491700,59.408300,UMA,PG,15.40,nan,
VV 64,191.085600,4.426400,VIR,PG,14.50,0.009,
VV 640,108.449600,67.043300,CAM,PG,15.60,nan,7Zw130
VV 641,357.632900,2.070000,PSC,PG,15.20,0.015,
VV 642,10.888950,-4.117500,CET,PG,14.18,0.007,Arp 231
VV 643,113.062500,25.910000,GEM,PG,14.70,0.015,
VV 644,112.355200,72.130700,CAM,PG,13.80,0.007,7Zw156
VV 645,136.147500,14.594200,CNC,PG,14.60,0.013,
VV 646,117.449600,48.131700,LYN,PG,15.40,0.015,MCG+08-15-003
VV 647,67.413950,-27.407900,ERI,PG,14.49,0.013,
VV 648,39.716450,0.510400,CET,PG,16.40,0.006,
VV 649,350.840800,29.429200,PEG,PG,15.54,0.010,
VV 65,156.965800,-43.902500,VEL,PG,12.15,0.095,
VV 650,32.672500,35.199200,TRI,PG,15.70,nan,
VV 651,157.422100,-17.081900,HYA,PG,15.00,0.022,
VV 652,40.456700,-20.814200,CET,PG,14.50,0.025,
VV 653,174.478300,47.466400,UMA,PG,16.00,0.015,VV 765
VV 654,116.788700,54.949400,LYN,PG,16.00,0.018,
VV 655,186.769200,-0.907200,VIR,PG,14.65,0.022,
VV 656,180.554200,59.136700,UMA,PG,18.00,0.007,7Zw434
VV 657,246.829200,48.123300,HER,PG,15.00,0.025,
VV 658,36.275400,26.375000,ARI,PG,15.60,nan,5Zw235
VV 659,144.837500,23.572500,LEO,PG,15.60,nan,
VV 66,179.877100,-19.262200,CRV,PG,11.66,0.080,8Zw158;Arp 22
VV 660,171.895800,47.378600,UMA,PG,15.30,0.015,
VV 661,8.205400,-10.011900,CET,PG,14.50,0.020,
VV 662,114.858300,55.535000,LYN,PG,15.20,0.010,
VV 663,129.035800,-3.429400,HYA,PG,15.70,0.013,
VV 664,166.716700,23.013300,LEO,PG,15.70,0.025,
VV 665,71.607500,3.504400,ORI,PG,13.30,0.040,
VV 666,210.103150,-23.311100,HYA,PG,14.99,0.014,
VV 667,248.364800,50.388350,HER,PG,15.00,0.094,
VV 668,314.949400,-1.879900,AQR,PG,14.00,0.014,2Zw097
VV 669,351.130800,-19.059200,AQR,PG,14.36,0.030,
VV 67,354.975800,-12.291900,AQR,PG,11.50,0.117,Arp 222
VV 670,9.783300,-8.391700,CET,PG,16.00,nan,
VV 671,196.541700,-37.585800,CEN,PG,14.09,0.028,
VV 672,278.389550,67.128350,DRA,PG,14.20,0.039,7Zw814
VV 673,177.018300,37.440600,UMA,PG,18.00,0.003,VV 753
VV 674,13.445800,-13.861100,CET,PG,15.50,0.020,Arp 251
VV 675,156.256700,47.841700,UMA,PG,17.00,nan,
VV 676,195.730400,5.522500,VIR,PG,16.87,0.020,
VV 677,317.726250,-42.637200,MIC,PG,14.81,0.006,
VV 678,202.108300,15.841700,COM,PG,15.70,0.010,
VV 679,275.523700,66.621900,DRA,PG,16.00,0.010,
VV 68,342.914200,-5.557800,AQR,PG,13.56,0.048,Arp 15
VV 680,195.095800,-6.053300,VIR,PG,17.00,nan,
VV 681,281.403950,49.762050,DRA,PG,17.00,0.012,
VV 682,275.565800,-85.401400,OCT,PG,12.10,0.040,
VV 683,34.318700,-6.070800,CET,PG,15.50,0.015,
VV 684,67.098800,-6.298100,ERI,PG,15.50,0.015,
VV 685,331.731450,-31.051800,PSA,PG,14.54,0.013,
VV 686,169.491700,32.008900,UMA,PG,15.70,0.015,
VV 687,247.921200,50.255800,HER,PG,16.00,0.015,
VV 688,209.335400,28.793200,CVN,PG,15.20,0.008,
VV 689,150.410800,19.793300,LEO,PG,15.60,0.013,
VV 69,202.572500,31.333100,CVN,PG,14.52,0.030,
VV 690,52.382900,-17.776900,ERI,PG,14.33,0.037,
VV 691,211.170400,-9.708900,VIR,PG,14.50,0.025,
VV 692,228.425000,4.080000,SER,PG,15.60,0.015,
VV 693,203.782050,-33.483050,CEN,PG,13.91,0.012,
VV 694,354.205800,-26.990600,SCL,PG,15.00,0.015,
VV 695,310.941250,-3.215550,AQR,PG,14.50,0.017,
VV 696,177.301450,55.699600,UMA,PG,16.00,0.014,
VV 697,358.958500,25.501000,PEG,PG,16.00,0.022,
VV 698,330.524800,-31.983900,PSA,PG,12.26,0.028,
VV 699,74.844350,-11.125700,ERI,PG,13.00,0.044,
VV 7,225.675800,23.332500,BOO,PG,13.90,0.045,Arp 42
VV 70,213.412100,7.659350,BOO,PG,13.70,0.005,
VV 700,332.295200,-27.795800,PSA,PG,13.33,0.038,
VV 701,26.875800,36.033900,AND,PG,14.94,0.022,
VV 702,240.816200,5.646100,SER,PG,14.70,0.011,
VV 703,131.973700,53.876900,UMA,PG,14.90,0.025,
VV 704,197.999600,44.811950,CVN,PG,16.00,0.019,
VV 705,229.525000,42.745000,BOO,PG,15.00,nan,1Zw107
VV 706,259.970800,86.737500,UMI,PG,14.30,0.049,7Zw729
VV 707,137.520800,22.830000,CNC,PG,15.30,0.018,
VV 708,190.955650,54.900150,UMA,PG,13.90,0.011,1Zw040
VV 709,137.096200,59.074700,UMA,PG,15.50,0.043,
